n,u,Algorithm,mean,sd,min_time,max_time,n_obs,CI
5,1,FTpEDF,"0,02552","0,0516985927254883","0,00500000000000078","0,348",50,"0,0146925774861382"
6,"1,2",FTpEDF,"0,01254","0,00856001621207695","0,00700000000000056","0,053",50,"0,00243272969046474"
7,"1,4",FTpEDF,"0,0147399999999999","0,00841720783604053","0,00899999999999945","0,0599999999999999",50,"0,00239214399905674"
8,"1,6",FTpEDF,"0,0175","0,00832319110702629","0,0110000000000001","0,0579999999999999",50,"0,00236542474030689"
9,"1,8",FTpEDF,"0,02048","0,00937917798060344","0,0140000000000002","0,0649999999999999",50,"0,00266553288922229"
10,2,FTpEDF,"0,02624","0,0130110784820208","0,0179999999999998","0,0800000000000001",50,"0,00369770759119848"
11,"2,2",FTpEDF,"0,0278799999999999","0,0113849883260227","0,0169999999999999","0,085",50,"0,00323557788211125"
12,"2,4",FTpEDF,"0,0334","0,0151926405384519","0,0199999999999996","0,0980000000000003",50,"0,004317700667705"
13,"2,6",FTpEDF,"0,03614","0,0105540590895307","0,024","0,084",50,"0,00299943040596076"
14,"2,8",FTpEDF,"0,04234","0,0153737252665523","0,0280000000000005","0,096",50,"0,00436916437800941"
15,3,FTpEDF,"0,0455600000000001","0,0115567102161648","0,032","0,095",50,"0,00328438070330943"
16,"3,2",FTpEDF,"0,05176","0,0161984630160282","0,0350000000000001","0,123",50,"0,0046035522530191"
17,"3,4",FTpEDF,"0,0584000000000001","0,0146524358913807","0,0369999999999999","0,114",50,"0,00416417620568316"
18,"3,6",FTpEDF,"0,06116","0,0140978504657661","0,0389999999999997","0,125",50,"0,00400656477161975"
19,"3,8",FTpEDF,"0,06866","0,0172361864241769","0,0510000000000002","0,148",50,"0,00489846998248927"
20,4,FTpEDF,"0,0747399999999999","0,0186293711484783","0,048","0,14",50,"0,00529440870026042"
21,"4,2",FTpEDF,"0,08086","0,0138990676533591","0,0579999999999998","0,132",50,"0,00395007132140706"
22,"4,4",FTpEDF,"0,08906","0,0207525852827634","0,0659999999999998","0,169",50,"0,00589781948076832"
23,"4,6",FTpEDF,"0,0961","0,0186353296242401","0,0609999999999999","0,156",50,"0,00529610208033546"
24,"4,8",FTpEDF,"0,10126","0,021353019191005","0,0720000000000001","0,173",50,"0,0060684609094236"
25,5,FTpEDF,"0,10876","0,022903132305162","0,0760000000000001","0,188",50,"0,0065089981821297"
26,"5,2",FTpEDF,"0,11116","0,0189396032542546","0,0850000000000002","0,177",50,"0,00538257568919586"
27,"5,4",FTpEDF,"0,1246","0,0218015165171825","0,093","0,202",50,"0,00619592243922148"
28,"5,6",FTpEDF,"0,13194","0,0217306423358015","0,0930000000000004","0,187",50,"0,00617578021973717"
29,"5,8",FTpEDF,"0,1409","0,0228894860455313","0,0989999999999993","0,219",50,"0,00650511995805339"
30,6,FTpEDF,"0,14888","0,0312276957137705","0,0979999999999999","0,218",50,"0,00887481292623105"
31,"6,2",FTpEDF,"0,16418","0,0271027447966107","0,125999999999999","0,255",50,"0,00770251484650001"
32,"6,4",FTpEDF,"0,16822","0,0268337968439284","0,12","0,252",50,"0,0076260806840557"
33,"6,6",FTpEDF,"0,17516","0,0270633120135518","0,129","0,261",50,"0,00769130817355124"
34,"6,8",FTpEDF,"0,17868","0,0265271828238777","0,138","0,238",50,"0,00753894194370638"
35,7,FTpEDF,"0,1925","0,0279081949781561","0,144","0,281",50,"0,00793142125535369"
36,"7,2",FTpEDF,"0,20164","0,0291041479616124","0,155","0,267",50,"0,00827130733257271"
37,"7,4",FTpEDF,"0,2143","0,0336004433887168","0,152000000000001","0,321",50,"0,00954914035433561"
38,"7,6",FTpEDF,"0,22898","0,0412728551402562","0,165","0,36",50,"0,0117296156481916"
39,"7,8",FTpEDF,"0,23388","0,0338156104514481","0,167999999999999","0,325",50,"0,00961029015697008"
40,8,FTpEDF,"0,24996","0,0391965013015921","0,184","0,343",50,"0,0111395224163468"
41,"8,2",FTpEDF,"0,2556","0,0384484813001205","0,183","0,366",50,"0,0109269374840806"
42,"8,4",FTpEDF,"0,26984","0,0430217600376216","0,187","0,378",50,"0,0122266489205839"
43,"8,6",FTpEDF,"0,28584","0,0402128824926459","0,219","0,424",50,"0,0114283747548293"
44,"8,8",FTpEDF,"0,29768","0,0438301173130243","0,222","0,428",50,"0,0124563815163705"
45,9,FTpEDF,"0,30582","0,0488273468040029","0,231","0,427",50,"0,0138765784238971"
46,"9,2",FTpEDF,"0,31872","0,0565461848439677","0,241","0,467",50,"0,0160702479229359"
47,"9,4",FTpEDF,"0,3281","0,0401493385718259","0,248","0,443",50,"0,0114103157723463"
48,"9,6",FTpEDF,"0,34344","0,0502179575979163","0,278","0,483",50,"0,0142717856387457"
49,"9,8",FTpEDF,"0,36432","0,0542791123805127","0,272","0,494",50,"0,0154259530576411"
50,10,FTpEDF,"0,36618","0,052773946107479","0,252","0,504",50,"0,0149981895358467"
5,1,SA-FTpEDF,"1,01027999999998","1,00999216081002","0,481999999999971","5,70799999999872",50,"0,287036596177546"
6,"1,2",SA-FTpEDF,"0,688099999999868","0,0948634356775603","0,519999999998618","1,12099999999919",50,"0,0269598901210841"
7,"1,4",SA-FTpEDF,"0,858739999999962","0,134005758328872","0,586999999999534","1,42699999999968",50,"0,038084015135386"
8,"1,6",SA-FTpEDF,"1,04189999999981","0,159710612019996","0,800999999999476","1,78399999999965",50,"0,0453892537253815"
9,"1,8",SA-FTpEDF,"1,25296000000006","0,249750566177874","0,920000000000073","2,64600000000064",50,"0,0709783255660301"
10,2,SA-FTpEDF,"1,44756000000023","0,150586494231388","1,16300000000047","1,81600000000071",50,"0,0427962081406864"
11,"2,2",SA-FTpEDF,"1,73162","0,299142508527394","1,32700000000114","2,96999999999935",50,"0,08501536026859"
12,"2,4",SA-FTpEDF,"1,95170000000002","0,24116835088672","1,4369999999999","2,46399999999994",50,"0,0685392869670967"
13,"2,6",SA-FTpEDF,"2,20199999999997","0,269053366984546","1,7549999999992","2,82799999999952",50,"0,0764641208575467"
14,"2,8",SA-FTpEDF,"2,51364000000012","0,329230690165441","1,8760000000002","3,57699999999932",50,"0,0935663268777073"
15,3,SA-FTpEDF,"2,77934000000008","0,264944477048162","2,28700000000026","3,55600000000049",50,"0,0752963872580483"
16,"3,2",SA-FTpEDF,"3,13389999999985","0,323787928201435","2,60499999999956","3,89799999999923",50,"0,092019511042325"
17,"3,4",SA-FTpEDF,"3,43720000000008","0,369374153543632","2,76900000000023","4,33899999999994",50,"0,104974972938497"
18,"3,6",SA-FTpEDF,"3,80968000000004","0,387037119983238","3,18900000000031","4,64699999999903",50,"0,10999473245936"
19,"3,8",SA-FTpEDF,"4,22527999999991","0,456968316679577","3,40399999999863","5,21800000000076",50,"0,129868958661513"
20,4,SA-FTpEDF,"4,59645999999975","0,464996563954769","3,65300000000025","5,67099999999846",50,"0,132150561292264"
21,"4,2",SA-FTpEDF,"5,04966","0,476408999812181","4,11700000000019","6,0630000000001",50,"0,135393939676488"
22,"4,4",SA-FTpEDF,"5,47478000000006","0,567136678267786","4,52800000000025","7,08299999999872",50,"0,161178460599998"
23,"4,6",SA-FTpEDF,"6,02406000000006","0,612573174637782","4,80999999999949","7,60200000000077",50,"0,174091369993094"
24,"4,8",SA-FTpEDF,"6,3013600000001","0,683789583341175","5,33200000000033","8,17500000000109",50,"0,194330849406297"
25,5,SA-FTpEDF,"6,79762000000017","0,787728195379606","5,61599999999999","8,70800000000054",50,"0,22386987611221"
26,"5,2",SA-FTpEDF,"7,26002000000011","0,674190050417301","5,75300000000061","8,61499999999978",50,"0,191602692335105"
27,"5,4",SA-FTpEDF,"7,78989999999994","1,03070574692023","5,54300000000148","11,530999999999",50,"0,292923332216106"
28,"5,6",SA-FTpEDF,"8,17052000000018","0,82630834389097","6,81700000000092","10,2620000000006",50,"0,234834233003698"
29,"5,8",SA-FTpEDF,"8,90118000000017","0,884721187258257","7,10100000000057","10,8080000000009",50,"0,251434979409245"
30,6,SA-FTpEDF,"9,27061999999991","0,796149096127958","7,72199999999975","11,5529999999999",50,"0,226263069625333"
31,"6,2",SA-FTpEDF,"9,79420000000002","0,925818248130547","7,97299999999996","12,0640000000003",50,"0,263114634879267"
32,"6,4",SA-FTpEDF,"10,298","1,06619412789945","8,37700000000041","12,5789999999997",50,"0,303009018497037"
33,"6,6",SA-FTpEDF,"10,7141","0,998447698240921","8,50500000000102","12,8549999999996",50,"0,283755696217019"
34,"6,8",SA-FTpEDF,"11,57818","1,03487109894341","9,87299999999959","14,0789999999997",50,"0,294107112163127"
35,7,SA-FTpEDF,"12,49028","1,14750026526152","10,2870000000003","15,9030000000002",50,"0,326115967067841"
36,"7,2",SA-FTpEDF,"12,89966","1,26498194889115","10,8070000000007","16,3719999999994",50,"0,359503892133724"
37,"7,4",SA-FTpEDF,"13,4013399999999","1,30401700580504","11,1420000000016","15,9959999999992",50,"0,370597532562749"
38,"7,6",SA-FTpEDF,"14,2549600000001","1,60113007234626","10,7779999999984","17,8500000000004",50,"0,455036131800459"
39,"7,8",SA-FTpEDF,"14,7197999999998","1,09808198273915","12,2860000000001","18,7080000000005",50,"0,312071446570984"
40,8,SA-FTpEDF,"15,3469199999999","1,36692086330202","11,518","17,9009999999998",50,"0,388474611061944"
41,"8,2",SA-FTpEDF,"16,1426","1,72163958398481","13,4089999999997","20,0910000000003",50,"0,489284556065461"
42,"8,4",SA-FTpEDF,"16,9254399999998","1,8243091301773","12,366","21,0849999999991",50,"0,518462918248538"
43,"8,6",SA-FTpEDF,"17,7461","1,67657424347315","14,2759999999998","22,0789999999997",50,"0,476477128000201"
44,"8,8",SA-FTpEDF,"18,4734999999999","1,94302898662311","14,848","22,8850000000002",50,"0,552202728135342"
45,9,SA-FTpEDF,"19,22916","1,92970361856683","16,4089999999997","24,494999999999",50,"0,548415700435423"
46,"9,2",SA-FTpEDF,"19,9138599999999","2,27386199399931","16,1450000000004","25,616",50,"0,646224428525855"
47,"9,4",SA-FTpEDF,"20,7759999999999","2,13119158965971","16,9840000000004","26,1919999999991",50,"0,605677948240236"
48,"9,6",SA-FTpEDF,"21,8953","2,18830966590131","17,8119999999999","26,9219999999987",50,"0,621910725900064"
49,"9,8",SA-FTpEDF,"22,7723599999999","2,27663333392609","18,8069999999989","29,1949999999997",50,"0,647012034618555"
50,10,SA-FTpEDF,"23,7937","2,54932577921524","19,2610000000004","29,8919999999998",50,"0,724510370087172"
5,1,W-GA-FTpEDF,"0,0297104000000007","0,0071870453070036","0,0168600000000151","0,051939999999995",50,"0,00204253567655577"
6,"1,2",W-GA-FTpEDF,"0,0368563999999999","0,00640168943263136","0,023279999999977","0,0523400000000038",50,"0,00181934000661408"
7,"1,4",W-GA-FTpEDF,"0,0491336000000003","0,00948136599131064","0,0355000000000292","0,08507999999998",50,"0,00269457440053464"
8,"1,6",W-GA-FTpEDF,"0,0621176000000028","0,0118040467913764","0,0459800000000178","0,101460000000006",50,"0,00335467298023363"
9,"1,8",W-GA-FTpEDF,"0,0801839999999997","0,0127402290691619","0,0600800000000162","0,118559999999998",50,"0,0036207330397511"
10,2,W-GA-FTpEDF,"0,0984576000000022","0,0191760976388078","0,068760000000002","0,172839999999997",50,"0,00544978664962826"
11,"2,2",W-GA-FTpEDF,"0,114570799999998","0,0161472627161548","0,082599999999984","0,163760000000002",50,"0,00458900128879463"
12,"2,4",W-GA-FTpEDF,"0,1366152","0,0232812534061872","0,0889400000000024","0,227419999999984",50,"0,00661645901003766"
13,"2,6",W-GA-FTpEDF,"0,154477200000001","0,0238326108292573","0,085","0,225719999999964",50,"0,0067731530559284"
14,"2,8",W-GA-FTpEDF,"0,180257599999997","0,0291918083673329","0,127619999999988","0,259320000000006",50,"0,00829622014422993"
15,3,W-GA-FTpEDF,"0,216719999999997","0,0351095589053792","0,157239999999983","0,32655999999999",50,"0,00997802623875087"
16,"3,2",W-GA-FTpEDF,"0,2413556","0,036454020307387","0,18405999999999","0,346280000000006",50,"0,0103601179415369"
17,"3,4",W-GA-FTpEDF,"0,297954000000002","0,0419768710368109","0,238739999999998","0,420660000000026",50,"0,0119296947522114"
18,"3,6",W-GA-FTpEDF,"0,316804800000001","0,0442591845992193","0,234480000000004","0,432720000000008",50,"0,0125783210899031"
19,"3,8",W-GA-FTpEDF,"0,363963600000002","0,0537350515619683","0,250699999999998","0,503840000000018",50,"0,0152713326838123"
20,4,W-GA-FTpEDF,"0,397104799999997","0,049680627778742","0,28786","0,62630000000001",50,"0,0141190781937723"
21,"4,2",W-GA-FTpEDF,"0,462017599999998","0,0633533451772092","0,292920000000012","0,60191999999999",50,"0,0180048214844984"
22,"4,4",W-GA-FTpEDF,"0,513789600000001","0,0659979087164023","0,383160000000026","0,716179999999986",50,"0,0187563981264958"
23,"4,6",W-GA-FTpEDF,"0,558444000000002","0,0695752483551005","0,422299999999996","0,75046000000002",50,"0,019773066802854"
24,"4,8",W-GA-FTpEDF,"0,6397732","0,100970059381936","0,453640000000014","0,914720000000016",50,"0,0286953733755634"
25,5,W-GA-FTpEDF,"0,656958799999996","0,0939332218216527","0,436700000000018","0,899699999999976",50,"0,0266955262682966"
26,"5,2",W-GA-FTpEDF,"0,720910000000002","0,0997960025578677","0,455620000000018","0,926080000000002",50,"0,0283617101179898"
27,"5,4",W-GA-FTpEDF,"0,800851200000004","0,109830486616275","0,447520000000004","1,02834000000003",50,"0,0312134789339112"
28,"5,6",W-GA-FTpEDF,"0,856775200000004","0,118083737742957","0,525699999999998","1,10388000000003",50,"0,0335590269517309"
29,"5,8",W-GA-FTpEDF,"0,924576800000001","0,093700173620381","0,742999999999992","1,19079999999998",50,"0,0266292947023162"
30,6,W-GA-FTpEDF,"1,0118196","0,150211664075485","0,728719999999994","1,46011999999999",50,"0,0426896825890338"
31,"6,2",W-GA-FTpEDF,"1,0825532","0,160398347368453","0,705900000000002","1,54494000000002",50,"0,0455847059488261"
32,"6,4",W-GA-FTpEDF,"1,1310252","0,145946412072714","0,865080000000016","1,46522000000001",50,"0,0414775113819492"
33,"6,6",W-GA-FTpEDF,"1,2206484","0,154527637847121","0,922979999999988","1,6802",50,"0,0439162687633349"
34,"6,8",W-GA-FTpEDF,"1,359216","0,168177285757914","0,956980000000004","1,73258000000002",50,"0,0477954557782058"
35,7,W-GA-FTpEDF,"1,462312","0,161145838726218","1,15583999999999","1,78864000000001",50,"0,0457971406422131"
36,"7,2",W-GA-FTpEDF,"1,504648","0,161981940943545","1,23799999999999","1,86074000000001",50,"0,0460347582632506"
37,"7,4",W-GA-FTpEDF,"1,6454276","0,214823274074105","1,26014000000003","2,20260000000002",50,"0,0610520989791579"
38,"7,6",W-GA-FTpEDF,"1,6676384","0,159806078239488","1,3475","1,99606",50,"0,045416384924767"
39,"7,8",W-GA-FTpEDF,"1,719754","0,219123208962727","1,18475999999999","2,34436000000002",50,"0,0622741269533408"
40,8,W-GA-FTpEDF,"1,8630724","0,234384366612816","1,46842000000001","2,40252",50,"0,0666112999687207"
41,"8,2",W-GA-FTpEDF,"2,0366708","0,237986074955695","1,58900000000001","2,59088",50,"0,0676348941541796"
42,"8,4",W-GA-FTpEDF,"2,0793956","0,252943043368279","1,63498","2,75186000000002",50,"0,0718856175447851"
43,"8,6",W-GA-FTpEDF,"2,2052332","0,240946602759588","1,73531999999999","2,92326",50,"0,0684762668466537"
44,"8,8",W-GA-FTpEDF,"2,2276364","0,201851385366886","1,68289999999997","2,77462",50,"0,0573655289987259"
45,9,W-GA-FTpEDF,"2,369094","0,301172140030601","1,67434000000001","3,27019999999996",50,"0,0855921751596163"
46,"9,2",W-GA-FTpEDF,"2,3836004","0,252715351834625","1,87386000000002","2,91119999999998",50,"0,0718209083268975"
47,"9,4",W-GA-FTpEDF,"2,5803196","0,290580942827517","1,78097999999998","3,3991",50,"0,0825821902185649"
48,"9,6",W-GA-FTpEDF,"2,7159856","0,304670323720171","1,97414000000001","3,42764",50,"0,0865863479641387"
49,"9,8",W-GA-FTpEDF,"2,8132736","0,331231389236205","1,98490000000002","3,59912",50,"0,0941349192624115"
50,10,W-GA-FTpEDF,"2,923554","0,238363920850589","2,56176","3,71522",50,"0,0677422767693705"
5,1,S-GA-FTpEDF,"21,48158","22,5250227498492","10,0799999999999","120,124",50,"6,40154063547693"
6,"1,2",S-GA-FTpEDF,"14,3533799999999","1,91963981411049","11,5790000000002","19,817",50,"0,545555598854608"
7,"1,4",S-GA-FTpEDF,"18,06094","1,9814470326671","13,1050000000005","22,7310000000007",50,"0,563121016015334"
8,"1,6",S-GA-FTpEDF,"21,63796","2,26002236723619","17,1289999999999","27,0740000000001",50,"0,642291250118542"
9,"1,8",S-GA-FTpEDF,"26,1246800000001","2,85697036222156","18,9110000000001","31,5029999999997",50,"0,811941993187863"
10,2,S-GA-FTpEDF,"29,44282","2,77766919387684","24,5820000000003","37,556",50,"0,789404850507156"
11,"2,2",S-GA-FTpEDF,"36,3169","3,84315036188826","27,2579999999998","45,268",50,"1,09221124804592"
12,"2,4",S-GA-FTpEDF,"41,8826199999999","5,10682695882153","32,9230000000007","51,9379999999992",50,"1,4513441632579"
13,"2,6",S-GA-FTpEDF,"46,7019399999999","5,49992280617443","35,7189999999991","61,4109999999991",50,"1,56306076698402"
14,"2,8",S-GA-FTpEDF,"53,2249","5,9738823538425","44,442","69,5019999999995",50,"1,69775858006347"
15,3,S-GA-FTpEDF,"59,31172","6,12892518472855","46,6320000000005","74,3919999999998",50,"1,74182126506844"
16,"3,2",S-GA-FTpEDF,"66,8106999999999","6,36805813559885","53,415","83,4949999999999",50,"1,80978209775119"
17,"3,4",S-GA-FTpEDF,"73,7588199999999","7,62270575371728","59,6849999999999","95,8069999999998",50,"2,16634900557566"
18,"3,6",S-GA-FTpEDF,"82,6003400000001","9,86953660101504","67,9760000000006","111,143",50,"2,80489126720849"
19,"3,8",S-GA-FTpEDF,"90,16904","9,3699790363279","76,0680000000002","116,95",50,"2,6629185781853"
20,4,S-GA-FTpEDF,"101,3901","11,4350812714065","81,2510000000002","132,074",50,"3,24981413967185"
21,"4,2",S-GA-FTpEDF,"109,06252","12,0741193353422","89,5720000000001","141,204000000001",50,"3,43142674798443"
22,"4,4",S-GA-FTpEDF,"116,27334","11,1260400102917","100,506","145,98",50,"3,16198558504458"
23,"4,6",S-GA-FTpEDF,"125,01594","12,1619351682676","108,579","162,574",50,"3,45638373156457"
24,"4,8",S-GA-FTpEDF,"134,51092","12,7958124142395","110,991","160,176",50,"3,6365296516401"
25,5,S-GA-FTpEDF,"144,95302","13,2760252342333","112,58","172,143",50,"3,77300462505106"
26,"5,2",S-GA-FTpEDF,"154,03532","17,0666225457763","128,897000000001","198,778",50,"4,85028046144215"
27,"5,4",S-GA-FTpEDF,"166,03808","16,1661139965228","121,43","215,145",50,"4,59435876339729"
28,"5,6",S-GA-FTpEDF,"176,56516","17,7568504174977","146,325","222,91",50,"5,04644105216088"
29,"5,8",S-GA-FTpEDF,"187,79624","17,4742857523124","151,024","224,046",50,"4,96613706284103"
30,6,S-GA-FTpEDF,"199,89082","19,990952390958","168,722","258,406",50,"5,68136580787512"
31,"6,2",S-GA-FTpEDF,"214,27706","19,7314690738589","180,321","261,638",50,"5,60762146510194"
32,"6,4",S-GA-FTpEDF,"221,1051","20,6376476572919","177,874","267,771",50,"5,86515456903119"
33,"6,6",S-GA-FTpEDF,"236,596","26,73517968627","170,261999999999","300,861",50,"7,59805399795126"
34,"6,8",S-GA-FTpEDF,"256,7016","24,2525725965519","220,364","309,916999999999",50,"6,89250486962196"
35,7,S-GA-FTpEDF,"271,93538","24,9379682804092","228,06","348,559",50,"7,08729216774454"
36,"7,2",S-GA-FTpEDF,"271,29602","25,4979426408869","230,528","328,216",50,"7,24643512015054"
37,"7,4",S-GA-FTpEDF,"291,7291","26,2349652168356","250,541","349,54",50,"7,45589461866452"
38,"7,6",S-GA-FTpEDF,"316,80168","33,1325170473889","262,515","389,188",50,"9,41615715952658"
39,"7,8",S-GA-FTpEDF,"324,67226","33,5465581596621","267,128999999999","429,808",50,"9,53382634168059"
40,8,S-GA-FTpEDF,"338,03566","32,5416202741307","272,508000000001","421,597000000001",50,"9,24822615464404"
41,"8,2",S-GA-FTpEDF,"341,79538","26,6522389386799","298,869","400,707",50,"7,57448249829367"
42,"8,4",S-GA-FTpEDF,"371,50878","35,2135069002779","311,65","458,642",50,"10,0075679320362"
43,"8,6",S-GA-FTpEDF,"388,39142","32,3627490798243","325,628","458,124",50,"9,19739152368341"
44,"8,8",S-GA-FTpEDF,"406,42508","45,5797473991801","337,785","584,645",50,"12,9536208851367"
45,9,S-GA-FTpEDF,"421,59748","44,7300502977857","332,917000000001","526,794",50,"12,7121396407965"
46,"9,2",S-GA-FTpEDF,"435,35596","45,9914766313614","341,365000000001","551,001",50,"13,0706330382383"
47,"9,4",S-GA-FTpEDF,"450,81712","34,0779737592529","390,39","527,775",50,"9,68485298404566"
48,"9,6",S-GA-FTpEDF,"477,739","43,6719666091441","386,085","589,947",50,"12,4114355836333"
49,"9,8",S-GA-FTpEDF,"493,31036","43,4547382436822","410,002","610,229",50,"12,3496999652445"
50,10,S-GA-FTpEDF,"507,95442","47,5290485862475","431,168","645,277",50,"13,5076061529153"
